时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-6-5 18:12:11:817	WTSDCL(FE:D5:86:66:1D:7C)	-0.234	-0.972	0.076	0.122	0.854	3.967	-85.95	14.46	48.23	40.117	50.917	18.583	-0.62692	0.65494	0.19153	-0.37576	6.8	10092.1.12	100
2025-6-5 18:12:11:840	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.240	0.305	-0.061	0.122	75.66	-18.31	-175.15	-15.250	-51.125	70.075	0.12967	-0.09988	-0.60751	-0.77719	-2.5	10080.1.21	100
2025-6-5 18:12:11:889	WT901BLE67(C1:AA:08:9C:D1:14)	-0.324	0.908	0.265	0.366	-0.122	0.000	73.92	20.44	-36.39	-25.875	-90.375	-110.958	0.71909	0.60300	-0.05997	-0.34000	-3.3	10080.1.21	100
2025-6-5 18:12:11:909	WTSDCL(FE:D5:86:66:1D:7C)	-0.241	-0.972	0.079	0.183	1.099	1.221	-85.92	14.62	48.28	40.117	50.917	18.583	-0.62692	0.65494	0.19153	-0.37576	6.8	10092.1.12	100
2025-6-5 18:12:11:931	WT901BLE67(E9:8A:1A:DD:D5:28)	0.312	0.914	0.240	0.305	0.000	0.183	75.66	-18.31	-175.15	-14.625	-52.250	72.600	0.12967	-0.09988	-0.60751	-0.77719	-2.5	10080.1.21	100
2025-6-5 18:12:11:983	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.907	0.265	0.366	-0.122	0.000	73.92	20.44	-36.39	-25.875	-90.375	-110.958	0.71909	0.60300	-0.05997	-0.34000	-3.3	10080.1.21	100
2025-6-5 18:12:12:31	WTSDCL(FE:D5:86:66:1D:7C)	-0.243	-0.970	0.076	0.122	1.587	1.282	-85.92	14.72	48.27	40.117	50.917	18.583	-0.62692	0.65494	0.19153	-0.37576	6.8	10092.1.12	100
2025-6-5 18:12:12:52	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.241	0.244	-0.061	0.122	75.66	-18.31	-175.14	-14.625	-52.250	72.600	0.12967	-0.09988	-0.60751	-0.77719	-2.5	10080.1.21	100
2025-6-5 18:12:12:100	WT901BLE67(C1:AA:08:9C:D1:14)	-0.324	0.907	0.265	0.366	-0.122	0.000	73.92	20.44	-36.39	-24.875	-89.375	-111.533	0.71909	0.60300	-0.05997	-0.34000	-3.3	10080.1.21	100
2025-6-5 18:12:12:110	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.240	0.305	-0.061	0.122	75.66	-18.31	-175.14	-14.625	-52.250	72.600	0.12973	-0.09982	-0.60757	-0.77716	-2.5	10080.1.21	100
2025-6-5 18:12:12:118	WTSDCL(FE:D5:86:66:1D:7C)	-0.242	-0.970	0.076	0.000	0.610	0.854	-85.91	14.79	48.33	40.758	51.050	18.808	-0.62692	0.65494	0.19153	-0.37576	6.8	10092.1.12	100
2025-6-5 18:12:12:164	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.907	0.265	0.427	-0.122	0.000	73.92	20.44	-36.39	-24.875	-89.375	-111.533	0.71909	0.60300	-0.05997	-0.34000	-3.3	10080.1.21	100
2025-6-5 18:12:12:211	WTSDCL(FE:D5:86:66:1D:7C)	-0.241	-0.969	0.077	0.000	1.404	-0.244	-85.90	14.77	48.34	40.758	51.050	18.808	-0.62662	0.65497	0.19101	-0.37656	6.8	10092.1.12	100
2025-6-5 18:12:12:230	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.916	0.239	0.305	-0.061	0.122	75.66	-18.30	-175.14	-14.375	-49.875	70.025	0.12973	-0.09982	-0.60757	-0.77716	-2.5	10080.1.21	100
2025-6-5 18:12:12:285	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.265	0.427	-0.122	0.000	73.92	20.44	-36.39	-24.875	-89.375	-111.533	0.71909	0.60303	-0.05997	-0.33997	-3.3	10080.1.21	100
2025-6-5 18:12:12:325	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.240	0.305	-0.061	0.122	75.66	-18.30	-175.14	-14.375	-49.875	70.025	0.12973	-0.09982	-0.60757	-0.77716	-2.5	10080.1.21	100
2025-6-5 18:12:12:328	WTSDCL(FE:D5:86:66:1D:7C)	-0.235	-0.970	0.079	0.061	1.953	-0.854	-85.91	14.66	48.26	40.758	51.050	18.808	-0.62662	0.65497	0.19101	-0.37656	6.8	10092.1.12	100
2025-6-5 18:12:12:382	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.264	0.427	-0.122	0.000	73.92	20.44	-36.39	-24.875	-89.375	-111.533	0.71909	0.60303	-0.05997	-0.33997	-3.3	10080.1.21	100
2025-6-5 18:12:12:421	WTSDCL(FE:D5:86:66:1D:7C)	-0.229	-0.970	0.075	-0.061	1.892	-1.648	-85.94	14.47	48.21	40.558	50.942	18.650	-0.62662	0.65497	0.19101	-0.37656	6.8	10092.1.12	100
2025-6-5 18:12:12:438	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.239	0.244	-0.061	0.061	75.66	-18.30	-175.14	-14.375	-49.875	70.025	0.12973	-0.09982	-0.60757	-0.77716	-2.5	10080.1.21	100
2025-6-5 18:12:12:487	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.264	0.366	-0.061	0.000	73.93	20.44	-36.39	-26.500	-90.250	-109.708	0.71909	0.60303	-0.05997	-0.33997	-3.3	10080.1.21	100
2025-6-5 18:12:12:506	WTSDCL(FE:D5:86:66:1D:7C)	-0.226	-0.974	0.075	-0.366	1.282	-1.404	-85.96	14.28	48.17	40.558	50.942	18.650	-0.62662	0.65497	0.19101	-0.37656	6.8	10092.1.12	100
2025-6-5 18:12:12:526	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.914	0.240	0.305	-0.061	0.122	75.66	-18.30	-175.13	-14.375	-49.875	70.025	0.12979	-0.09976	-0.60760	-0.77710	-2.5	10080.1.21	100
2025-6-5 18:12:12:578	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.264	0.427	-0.122	0.000	73.93	20.44	-36.39	-26.500	-90.250	-109.708	0.71909	0.60303	-0.05997	-0.33997	-3.3	10080.1.21	100
2025-6-5 18:12:12:627	WTSDCL(FE:D5:86:66:1D:7C)	-0.227	-0.972	0.075	0.061	2.441	-0.732	-86.00	14.10	48.16	40.558	50.942	18.650	-0.62662	0.65497	0.19101	-0.37656	6.8	10092.1.12	100
2025-6-5 18:12:12:647	WT901BLE67(E9:8A:1A:DD:D5:28)	0.317	0.915	0.240	0.183	-0.061	0.122	75.67	-18.30	-175.13	-14.375	-49.875	70.025	0.12979	-0.09976	-0.60760	-0.77710	-2.5	10080.1.21	100
2025-6-5 18:12:12:697	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.266	0.366	-0.061	0.000	73.93	20.44	-36.39	-26.500	-90.250	-109.708	0.71909	0.60306	-0.05997	-0.33994	-3.3	10080.1.21	100
2025-6-5 18:12:12:718	WTSDCL(FE:D5:86:66:1D:7C)	-0.227	-0.975	0.077	-0.061	1.526	-0.122	-86.02	13.97	48.07	40.558	50.942	18.650	-0.62903	0.65454	0.19470	-0.37131	6.8	10092.1.12	100
2025-6-5 18:12:12:738	WT901BLE67(E9:8A:1A:DD:D5:28)	0.312	0.908	0.257	0.122	-0.916	0.305	75.65	-18.32	-175.16	-15.375	-50.625	69.558	0.12979	-0.09976	-0.60760	-0.77710	-2.5	10080.1.21	100
2025-6-5 18:12:12:757	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.265	0.366	-0.061	0.000	73.93	20.44	-36.39	-26.500	-90.250	-109.708	0.71909	0.60306	-0.05997	-0.33994	-3.3	10080.1.21	100
2025-6-5 18:12:12:807	WTSDCL(FE:D5:86:66:1D:7C)	-0.224	-0.981	0.067	-0.122	1.038	0.427	-86.03	13.94	48.11	40.075	50.950	18.850	-0.62903	0.65454	0.19470	-0.37131	6.8	10092.1.12	100
2025-6-5 18:12:12:859	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.240	0.366	-0.061	0.122	75.66	-18.31	-175.16	-15.375	-50.625	69.558	0.12964	-0.09995	-0.60754	-0.77716	-2.5	10080.1.21	100
2025-6-5 18:12:12:877	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.265	0.427	-0.061	0.000	73.93	20.44	-36.39	-24.500	-89.500	-110.033	0.71909	0.60306	-0.05997	-0.33994	-3.3	10080.1.21	100
2025-6-5 18:12:12:919	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.240	0.305	-0.061	0.122	75.66	-18.31	-175.16	-15.375	-50.625	69.558	0.12964	-0.09995	-0.60754	-0.77716	-2.5	10080.1.21	100
2025-6-5 18:12:12:956	WTSDCL(FE:D5:86:66:1D:7C)	-0.220	-0.975	0.072	-0.183	1.282	0.000	-86.04	13.95	48.14	40.075	50.950	18.850	-0.62903	0.65454	0.19470	-0.37131	6.8	10092.1.12	100
2025-6-5 18:12:12:973	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.264	0.427	-0.061	0.000	73.93	20.44	-36.38	-24.500	-89.500	-110.033	0.71909	0.60306	-0.05997	-0.33994	-3.3	10080.1.21	100
2025-6-5 18:12:13:19	WTSDCL(FE:D5:86:66:1D:7C)	-0.226	-0.974	0.075	-0.061	2.014	-1.038	-86.08	13.88	48.14	40.075	50.950	18.850	-0.62909	0.65451	0.19598	-0.37061	6.8	10092.1.12	100
2025-6-5 18:12:13:37	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.240	0.244	0.000	0.183	75.66	-18.31	-175.16	-15.375	-50.625	69.558	0.12964	-0.09995	-0.60754	-0.77716	-2.5	10080.1.21	100
2025-6-5 18:12:13:87	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.264	0.366	-0.061	0.000	73.93	20.43	-36.38	-24.500	-89.500	-110.033	0.71909	0.60306	-0.05997	-0.33990	-3.3	10080.1.21	100
2025-6-5 18:12:13:128	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.239	0.305	-0.061	0.183	75.66	-18.31	-175.16	-16.625	-52.125	73.633	0.12964	-0.09995	-0.60754	-0.77716	-2.5	10080.1.21	100
2025-6-5 18:12:13:137	WTSDCL(FE:D5:86:66:1D:7C)	-0.226	-0.975	0.076	0.366	2.625	0.183	-86.08	13.81	48.07	40.075	50.950	18.850	-0.62909	0.65451	0.19598	-0.37061	6.8	10092.1.12	100
2025-6-5 18:12:13:177	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.907	0.264	0.427	-0.122	0.000	73.93	20.43	-36.38	-24.500	-89.500	-110.033	0.71909	0.60306	-0.05997	-0.33990	-3.3	10080.1.21	100
2025-6-5 18:12:13:253	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.239	0.366	-0.061	0.183	75.66	-18.31	-175.16	-16.625	-52.125	73.633	0.12964	-0.09995	-0.60754	-0.77716	-2.5	10080.1.21	100
2025-6-5 18:12:13:256	WTSDCL(FE:D5:86:66:1D:7C)	-0.224	-0.975	0.075	0.244	1.221	0.732	-86.07	13.81	48.07	39.958	50.908	18.983	-0.62909	0.65451	0.19598	-0.37061	6.8	10092.1.12	100
2025-6-5 18:12:13:391	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.265	0.366	-0.061	0.000	73.93	20.43	-36.38	-27.000	-90.625	-108.675	0.71909	0.60306	-0.05997	-0.33990	-3.3	10080.1.21	100
2025-6-5 18:12:13:413	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.240	0.366	-0.122	0.122	75.66	-18.31	-175.16	-16.625	-52.125	73.633	0.12964	-0.09991	-0.60757	-0.77713	-2.5	10080.1.21	100
2025-6-5 18:12:13:415	WTSDCL(FE:D5:86:66:1D:7C)	-0.219	-0.978	0.070	0.244	1.099	0.488	-86.05	13.82	48.12	39.958	50.908	18.983	-0.62909	0.65451	0.19598	-0.37061	6.8	10092.1.12	100
2025-6-5 18:12:13:415	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.264	0.427	-0.183	0.000	73.93	20.43	-36.38	-27.000	-90.625	-108.675	0.71909	0.60306	-0.05997	-0.33990	-3.3	10080.1.21	100
2025-6-5 18:12:13:440	WTSDCL(FE:D5:86:66:1D:7C)	-0.226	-0.975	0.077	-0.122	0.488	0.427	-86.04	13.84	48.23	39.958	50.908	18.983	-0.62909	0.65451	0.19598	-0.37061	6.8	10092.1.12	100
2025-6-5 18:12:13:457	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.240	0.305	0.000	0.183	75.67	-18.31	-175.16	-16.625	-52.125	73.633	0.12964	-0.09991	-0.60757	-0.77713	-2.5	10080.1.21	100
2025-6-5 18:12:13:507	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.264	0.366	-0.122	-0.061	73.93	20.43	-36.38	-27.000	-90.625	-108.675	0.71909	0.60306	-0.05997	-0.33990	-3.3	10080.1.21	100
2025-6-5 18:12:13:515	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.240	0.183	0.000	0.183	75.66	-18.31	-175.16	-15.750	-50.875	73.325	0.12964	-0.09991	-0.60757	-0.77713	-2.5	10080.1.21	100
2025-6-5 18:12:13:560	WTSDCL(FE:D5:86:66:1D:7C)	-0.223	-0.978	0.073	-0.122	1.404	-0.305	-86.06	13.78	48.28	39.958	50.908	18.983	-0.62875	0.65402	0.19711	-0.37140	6.8	10092.1.12	100
2025-6-5 18:12:13:567	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.907	0.265	0.366	-0.122	0.000	73.93	20.43	-36.38	-27.000	-90.625	-108.675	0.71909	0.60309	-0.05997	-0.33984	-3.3	10080.1.21	100
2025-6-5 18:12:13:647	WTSDCL(FE:D5:86:66:1D:7C)	-0.223	-0.977	0.079	0.183	1.343	1.892	-86.05	13.82	48.28	39.958	50.908	18.983	-0.62875	0.65402	0.19711	-0.37140	6.8	10092.1.12	100
2025-6-5 18:12:13:667	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.239	0.244	0.000	0.183	75.65	-18.31	-175.15	-15.750	-50.875	73.325	0.12964	-0.09991	-0.60757	-0.77713	-2.5	10080.1.21	100
2025-6-5 18:12:13:688	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.265	0.427	-0.122	-0.061	73.93	20.43	-36.38	-27.000	-90.625	-108.675	0.71909	0.60309	-0.05997	-0.33984	-3.3	10080.1.21	100
2025-6-5 18:12:13:729	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.239	0.244	-0.061	0.122	75.65	-18.31	-175.14	-15.750	-50.875	73.325	0.12967	-0.09985	-0.60760	-0.77713	-2.5	10080.1.21	100
2025-6-5 18:12:13:748	WTSDCL(FE:D5:86:66:1D:7C)	-0.229	-0.973	0.074	0.244	2.075	1.587	-86.04	14.00	48.31	40.183	50.858	19.208	-0.62875	0.65402	0.19711	-0.37140	6.8	10092.1.12	100
2025-6-5 18:12:13:782	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.907	0.265	0.366	-0.183	0.000	73.94	20.43	-36.38	-24.125	-90.625	-109.717	0.71909	0.60309	-0.05997	-0.33984	-3.3	10080.1.21	100
2025-6-5 18:12:13:847	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.240	0.305	0.000	0.183	75.67	-18.30	-175.16	-15.750	-50.875	73.325	0.12967	-0.09985	-0.60760	-0.77713	-2.5	10080.1.21	100
2025-6-5 18:12:13:866	WTSDCL(FE:D5:86:66:1D:7C)	-0.233	-0.974	0.077	-0.061	1.282	4.089	-86.03	14.17	48.30	40.183	50.858	19.208	-0.62875	0.65402	0.19711	-0.37140	6.8	10092.1.12	100
2025-6-5 18:12:13:897	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.907	0.265	0.427	-0.061	0.000	73.94	20.43	-36.38	-24.125	-90.625	-109.717	0.71909	0.60309	-0.05997	-0.33984	-3.3	10080.1.21	100
2025-6-5 18:12:13:936	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.240	0.244	-0.122	0.061	75.67	-18.30	-175.17	-16.875	-50.500	72.333	0.12967	-0.09985	-0.60760	-0.77713	-2.5	10080.1.21	100
2025-6-5 18:12:13:947	WTSDCL(FE:D5:86:66:1D:7C)	-0.234	-0.967	0.074	0.000	0.549	2.258	-86.02	14.47	48.36	40.183	50.858	19.208	-0.62625	0.65494	0.19333	-0.37601	6.8	10092.1.12	100
2025-6-5 18:12:13:987	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.265	0.366	-0.122	0.000	73.94	20.43	-36.38	-24.125	-90.625	-109.717	0.71909	0.60309	-0.05997	-0.33984	-3.3	10080.1.21	100
2025-6-5 18:12:14:39	WTSDCL(FE:D5:86:66:1D:7C)	-0.233	-0.975	0.077	0.183	0.916	0.183	-86.01	14.48	48.44	40.183	50.858	19.208	-0.62625	0.65494	0.19333	-0.37601	6.8	10092.1.12	100
2025-6-5 18:12:14:59	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.240	0.305	0.000	0.183	75.67	-18.30	-175.18	-16.875	-50.500	72.333	0.12967	-0.09985	-0.60760	-0.77713	-2.5	10080.1.21	100
2025-6-5 18:12:14:109	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.907	0.265	0.366	-0.122	0.000	73.94	20.43	-36.37	-24.125	-90.625	-109.717	0.71909	0.60309	-0.05997	-0.33984	-3.3	10080.1.21	100
2025-6-5 18:12:14:147	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.240	0.244	0.000	0.122	75.67	-18.30	-175.19	-16.875	-50.500	72.333	0.12933	-0.10007	-0.60760	-0.77716	-2.5	10080.1.21	100
2025-6-5 18:12:14:159	WTSDCL(FE:D5:86:66:1D:7C)	-0.232	-0.970	0.075	0.000	0.854	-0.427	-86.00	14.44	48.50	40.592	50.833	19.183	-0.62625	0.65494	0.19333	-0.37601	6.8	10092.1.12	100
2025-6-5 18:12:14:174	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.265	0.366	-0.122	0.000	73.94	20.43	-36.37	-25.250	-89.875	-111.242	0.71909	0.60309	-0.05997	-0.33984	-3.3	10080.1.21	100
2025-6-5 18:12:14:249	WTSDCL(FE:D5:86:66:1D:7C)	-0.227	-0.972	0.078	0.366	1.526	-0.793	-85.99	14.29	48.48	40.592	50.833	19.183	-0.62625	0.65494	0.19333	-0.37601	6.8	10092.1.12	100
2025-6-5 18:12:14:267	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.239	0.305	-0.061	0.122	75.67	-18.30	-175.20	-16.875	-50.500	72.333	0.12933	-0.10007	-0.60760	-0.77716	-2.5	10080.1.21	100
2025-6-5 18:12:14:286	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.907	0.265	0.366	-0.122	0.000	73.94	20.43	-36.37	-25.250	-89.875	-111.242	0.71909	0.60309	-0.05997	-0.33984	-3.3	10080.1.21	100
2025-6-5 18:12:14:328	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.240	0.183	-0.061	0.122	75.67	-18.30	-175.22	-14.750	-50.125	72.033	0.12933	-0.10007	-0.60760	-0.77716	-2.5	10080.1.21	100
2025-6-5 18:12:14:338	WTSDCL(FE:D5:86:66:1D:7C)	-0.226	-0.975	0.075	0.183	0.916	-2.319	-85.97	14.08	48.50	40.592	50.833	19.183	-0.62805	0.65350	0.19675	-0.37372	6.8	10092.1.12	100
2025-6-5 18:12:14:379	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.907	0.266	0.366	-0.061	0.000	73.94	20.43	-36.37	-25.250	-89.875	-111.242	0.71909	0.60309	-0.05997	-0.33981	-3.3	10080.1.21	100
2025-6-5 18:12:14:448	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.239	0.244	0.000	0.183	75.67	-18.30	-175.23	-14.750	-50.125	72.033	0.12933	-0.10007	-0.60760	-0.77716	-2.5	10080.1.21	100
2025-6-5 18:12:14:457	WTSDCL(FE:D5:86:66:1D:7C)	-0.217	-0.981	0.077	0.244	1.709	-1.770	-85.95	13.79	48.42	40.592	50.833	19.183	-0.62805	0.65350	0.19675	-0.37372	6.8	10092.1.12	100
2025-6-5 18:12:14:498	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.264	0.488	-0.122	0.000	73.94	20.43	-36.37	-25.250	-89.875	-111.242	0.71909	0.60309	-0.05997	-0.33981	-3.3	10080.1.21	100
2025-6-5 18:12:14:538	WT901BLE67(E9:8A:1A:DD:D5:28)	0.311	0.915	0.241	0.244	0.000	0.183	75.68	-18.30	-175.24	-14.750	-50.125	72.033	0.12903	-0.10028	-0.60760	-0.77719	-2.5	10080.1.21	100
2025-6-5 18:12:14:549	WTSDCL(FE:D5:86:66:1D:7C)	-0.220	-0.976	0.076	0.122	0.977	0.244	-85.95	13.71	48.43	39.833	50.600	19.067	-0.62805	0.65350	0.19675	-0.37372	6.8	10092.1.12	100
2025-6-5 18:12:14:596	WT901BLE67(C1:AA:08:9C:D1:14)	-0.323	0.908	0.266	0.305	-0.061	0.000	73.94	20.43	-36.37	-25.125	-89.125	-111.042	0.71909	0.60309	-0.05997	-0.33981	-3.3	10080.1.21	100
2025-6-5 18:12:14:640	WTSDCL(FE:D5:86:66:1D:7C)	-0.215	-0.981	0.078	0.671	0.732	-0.488	-85.90	13.61	48.42	39.833	50.600	19.067	-0.62805	0.65350	0.19675	-0.37372	6.8	10092.1.12	100
